"ZDB-GENE-030131-2831","adra1aa","GO:0001994","","norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure","Danio rerio","IBA"
"ZDB-GENE-060503-384","adra1ab","GO:0001994","","norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure","Danio rerio","IBA"
"ZDB-GENE-120510-1","adra1ba","GO:0001994","","norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure","Danio rerio","IBA"
"ZDB-GENE-041114-51","adra1bb","GO:0001994","","norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure","Danio rerio","IBA"
"ZDB-GENE-041114-51","adra1bb","GO:0001994","","norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure","Danio rerio","IBA"
"ZDB-GENE-041114-51","adra1bb","GO:0001994","","norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure","Danio rerio","IBA"
"ZDB-GENE-090312-203","adra1d","GO:0001994","","norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure","Danio rerio","IBA"
"ZDB-GENE-990621-3","dbh","GO:0042421","","norepinephrine biosynthetic process","Danio rerio","IBA"
"ZDB-GENE-110411-228","inpp5b","GO:0071871","","response to epinephrine","Danio rerio","IMP"
"ZDB-GENE-030131-9320","moxd1","GO:0042421","","norepinephrine biosynthetic process","Danio rerio","IBA"
"ZDB-GENE-060126-3","moxd1l","GO:0042421","","norepinephrine biosynthetic process","Danio rerio","IBA"
"ZDB-GENE-061110-61","ocrl","GO:0071871","","response to epinephrine","Danio rerio","IMP"
"ZDB-GENE-040426-1620","rnf180","GO:0042415","","norepinephrine metabolic process","Danio rerio","IBA"
"ZDB-GENE-081104-393","si:dkey-250l23.4","GO:0042415","","norepinephrine metabolic process","Danio rerio","IBA"
"ZDB-GENE-110408-4","slc6a2","GO:0005334","","norepinephrine:sodium symporter activity","Danio rerio","IBA"
"ZDB-GENE-110408-4","slc6a2","GO:0015874","","norepinephrine transport","Danio rerio","IBA"
"ZDB-GENE-091116-22","taar19t","GO:0001994","","norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure","Danio rerio","IBA"
"ZDB-GENE-080204-3","vip","GO:0032812","","positive regulation of epinephrine secretion","Danio rerio","IBA"
"ZDB-GENE-080225-22","vipb","GO:0032812","","positive regulation of epinephrine secretion","Danio rerio","IBA"
"ZDB-GENE-080225-22","vipb","GO:0048242","","epinephrine secretion","Danio rerio","IBA"
